Team,Conference,Year,Target,Win %,Off.Rank,Def.Rank,Avg.Turnover.Margin.per.Game,Points.Per.Game,Avg.Points.per.Game.Allowed,Rush.Yards.Per.Game.Allowed,Rushing.Yards.per.Game,Pass.Yards.Per.Game.Allowed,Pass.Yards.Per.Game,Off.Yards.Play,Yards.Play.Allowed,X3rd.Percent,Opponent.3rd.Percent,Redzone.Points,Redzone.Points.Allowed
Akron,MAC,2013,0,0.4166666666666667,106,59,-0.17,20.2,28.6,164.1,122.6,232.9,219.4,4.9,5.51,0.393,0.429,0.781,0.843
Alabama,SEC,2013,1,0.8461538461538461,33,5,0.15,38.2,13.9,106.2,205.6,180.3,248.5,7.15,4.83,0.476,0.347,0.796,0.68
Arizona,Pac-12,2013,0,0.6153846153846154,31,62,0.31,33.5,24.2,167.8,264.9,233.2,193.5,5.79,5.26,0.472,0.393,0.821,0.872
Arizona St.,Pac-12,2013,0,0.7142857142857143,32,42,1.07,39.7,26.6,137.6,191.4,234.7,265.9,5.81,5.53,0.391,0.371,0.893,0.87
Arkansas,SEC,2013,0,0.25,99,76,-0.75,20.7,30.8,178.4,208.7,235.0,148.5,5.53,6.09,0.417,0.434,0.789,0.822
Arkansas St.,Sun Belt,2013,0,0.6153846153846154,65,74,0.54,29.2,26.2,180.2,205.7,232.9,202.1,5.6,5.78,0.446,0.382,0.852,0.786
Army West Point,FBS Independent,2013,0,0.25,79,71,-0.08,24.4,31.6,213.3,309.8,197.5,77.6,5.49,6.55,0.429,0.441,0.878,0.863
Auburn,SEC,2013,1,0.8571428571428571,11,86,0.0,39.5,24.7,162.1,328.3,258.6,173.0,6.92,5.96,0.465,0.33,0.885,0.731
Ball St.,MAC,2013,1,0.7692307692307693,19,77,0.92,38.5,24.7,195.3,152.9,218.5,324.2,6.46,5.58,0.447,0.393,0.909,0.756
Baylor,Big 12,2013,1,0.8461538461538461,1,28,1.0,52.4,23.5,145.4,259.7,214.9,359.1,7.49,4.75,0.47,0.339,0.821,0.762
Boston College,ACC,2013,0,0.5384615384615384,92,92,0.23,27.7,28.9,160.6,212.5,268.4,154.8,6.04,5.93,0.347,0.423,0.97,0.783
Bowling Green,MAC,2013,0,0.7142857142857143,29,10,0.71,34.8,15.9,150.6,193.4,170.9,266.1,6.54,5.06,0.455,0.353,0.852,0.647
Buffalo,MAC,2013,0,0.6153846153846154,77,49,1.08,30.3,24.4,166.6,167.4,216.2,227.3,5.32,5.59,0.401,0.348,0.872,0.714
BYU,FBS Independent,2013,0,0.6153846153846154,14,47,0.15,30.2,22.1,159.9,267.3,218.9,226.3,5.78,4.79,0.377,0.361,0.821,0.809
California,Pac-12,2013,0,0.08333333333333333,34,122,-1.25,23.0,45.9,188.6,122.2,341.0,331.4,5.21,7.08,0.338,0.414,0.721,0.865
Central Mich.,MAC,2013,0,0.5,108,66,-0.42,23.3,28.6,201.3,132.8,203.9,208.3,5.41,5.85,0.429,0.448,0.767,0.84
Cincinnati,AAC,2013,0,0.6923076923076923,23,9,-0.54,32.1,21.0,104.5,168.5,211.2,303.6,6.23,4.77,0.484,0.331,0.737,0.765
Clemson,ACC,2013,1,0.8461538461538461,10,25,0.46,40.2,22.2,155.7,174.6,201.0,333.1,6.36,5.03,0.447,0.308,0.85,0.818
Colorado,Pac-12,2013,0,0.3333333333333333,87,106,-0.25,25.4,38.3,208.5,120.8,259.5,249.1,5.34,6.08,0.337,0.388,0.813,0.828
Duke,ACC,2013,0,0.7142857142857143,47,82,0.07,32.8,26.6,174.1,178.0,243.9,248.1,5.87,5.67,0.395,0.373,0.862,0.822
East Carolina,C-USA,2013,1,0.7692307692307693,25,36,0.62,40.2,24.8,116.7,140.1,252.1,328.1,5.92,4.9,0.51,0.456,0.853,0.756
Eastern Mich.,MAC,2013,0,0.16666666666666666,109,118,-1.0,18.8,45.2,258.3,158.0,252.6,178.1,5.16,7.61,0.34,0.474,0.75,0.87
FIU,C-USA,2013,0,0.08333333333333333,123,94,-0.5,9.8,37.0,205.4,76.3,224.3,142.8,3.56,6.58,0.225,0.397,0.72,0.885
Fla. Atlantic,C-USA,2013,0,0.5,82,11,-0.25,26.4,22.3,164.4,182.9,161.5,198.3,5.37,4.88,0.4,0.335,0.8,0.848
Florida,SEC,2013,0,0.3333333333333333,113,8,-0.17,18.8,21.1,142.4,145.8,171.8,170.9,4.79,5.3,0.39,0.34,0.698,0.821
Florida St.,ACC,2013,1,1.0,6,3,1.21,51.6,12.1,124.8,203.1,156.6,315.9,7.67,4.09,0.522,0.322,0.973,0.767
Georgia,SEC,2013,0,0.6153846153846154,17,45,-0.54,36.7,29.0,148.2,169.9,227.4,314.2,6.66,5.41,0.418,0.399,0.863,0.854
Georgia Tech,ACC,2013,0,0.5384615384615384,44,27,-0.31,35.1,22.8,115.8,299.3,244.5,130.4,6.1,5.52,0.514,0.363,0.898,0.738
Houston,AAC,2013,0,0.6153846153846154,55,79,1.92,33.2,21.8,149.0,139.0,266.8,280.5,5.72,5.23,0.356,0.344,0.831,0.755
Idaho,FBS Independent,2013,0,0.08333333333333333,90,121,-0.67,18.2,46.8,213.6,137.5,315.8,230.8,4.78,6.93,0.33,0.468,0.75,0.836
Illinois,Big Ten,2013,0,0.3333333333333333,46,110,-0.83,29.7,35.4,238.6,139.0,242.9,287.7,5.91,6.66,0.476,0.452,0.792,0.842
Indiana,Big Ten,2013,0,0.4166666666666667,9,120,-0.25,38.4,38.8,237.8,201.8,290.2,306.7,6.58,6.74,0.467,0.465,0.821,0.846
Iowa,Big Ten,2013,0,0.6153846153846154,84,6,-0.08,26.3,18.9,128.4,179.9,174.7,197.1,5.26,4.58,0.436,0.357,0.759,0.857
Iowa St.,Big 12,2013,0,0.25,96,105,-0.08,24.8,36.0,224.0,143.8,239.1,219.2,4.82,6.05,0.345,0.384,0.897,0.804
Kansas,Big 12,2013,0,0.25,117,96,0.08,15.3,31.8,190.6,154.1,242.0,140.4,4.28,5.82,0.279,0.408,0.697,0.846
Kansas St.,Big 12,2013,0,0.6153846153846154,71,26,0.0,33.2,22.9,139.1,178.0,219.8,224.7,6.32,5.08,0.488,0.409,0.875,0.909
Kent St.,MAC,2013,0,0.3333333333333333,88,70,-0.33,20.8,26.9,198.8,182.4,211.1,186.5,5.55,6.05,0.395,0.424,0.765,0.83
Kentucky,SEC,2013,0,0.16666666666666666,107,91,0.0,20.5,31.2,197.3,147.9,229.8,193.3,5.29,6.26,0.309,0.447,0.8,0.808
La.-Monroe,Sun Belt,2013,0,0.5,98,90,-0.33,22.3,30.2,189.3,122.8,237.6,237.5,5.03,5.82,0.379,0.402,0.658,0.767
Louisiana,Sun Belt,2013,0,0.6923076923076923,56,56,0.08,33.8,26.5,150.7,204.5,242.8,212.2,6.14,5.76,0.5,0.413,0.863,0.795
